vivino_id,winery,year,name,type,rating,price,country,region,image_url
1174337,Mouchão,2003,Mouchão Colheitas Antigas 2003,red,4.4,195.0,Portugal,Alentejo,//images.vivino.com/thumbs/3gbl9gf3QWSFDRYMwwiaIw_pl_480x640.png
1260143,Pedra Basta,2013,Pedra Basta Tinto 2013,red,3.9,11.5,Portugal,Alentejano,//images.vivino.com/thumbs/fe0Z2IHlQgut8_9IZzu5gg_pl_480x640.png
1149941,Quinta de Tourais,2010,Quinta de Tourais Tourónio Rouge 2010,red,3.8,9.95,Portugal,Douro,//images.vivino.com/labels/-paw7OC9T0iF6cXNaIZB5w.jpg
75666,Quinta de Chocapalha,2015,Quinta de Chocapalha Cabernet Sauvignon 2015,red,3.4,11.5,Portugal,Lisboa,//images.vivino.com/thumbs/PA8qieZRRbqltR6X8YzTKQ_pl_480x640.png
1906277,Cortes de Cima,2015,Cortes de Cima Aragonez 2015,red,4.1,16.5,Portugal,Alentejano,//images.vivino.com/wineries/4243/wines/001hnql1osz24.jpg
1416577,Duplo PR,2015,Duplo PR Grande Reserva Tinto 2015,red,4.4,38.85,Portugal,Douro,//images.vivino.com/labels/lANqLM3vT7Sb2gU5OxbQ5A.jpg
2537402,Foral de Portimao,2014,Foral de Portimao Reserva 2014,red,3.5,8.95,Portugal,Algarve,//images.vivino.com/labels/015jmi3m4u181.jpg
1247055,Quinta da Alorna,2013,Quinta da Alorna Touriga Nacional - Cabernet Sauvignon Reserva 2013,red,3.8,6.95,Portugal,Tejo,//images.vivino.com/thumbs/Hf0Ivs4gQ-21f20eZlhcmA_pl_480x640.png
80040,Croft,1960,Croft Vintage Port 1960,fortified,4.3,429.0,Portugal,Porto,//images.vivino.com/thumbs/1oKXB8BwQWSdooWryL8THg_pl_480x640.png
1323370,Eduardo da Costa Seixas,2005,Eduardo da Costa Seixas Quinta de Santa Júlia Grande Escolha 2005,red,3.6,29.95,Portugal,Douro,//images.vivino.com/labels/BRWWEdcRSPybu0CDn4Vf5g.jpg
5844814,Quinta da Fata,2014,Quinta da Fata Grande Reserva Touriga Nacional 2014,red,4.2,24.95,Portugal,Dão,//images.vivino.com/thumbs/mtLpW-S5Qj-mA2yp0B9ekg_pl_480x640.png
1143701,Kopke,2017,Kopke Douro Tinto 2017,red,3.6,14.5,Portugal,Douro,//images.vivino.com/thumbs/p7JfCVqtQ_6mCSjvOdx2QA_pl_480x640.png
3495737,Coragem,2017,Coragem Chardonnay 2017,white,3.9,6.5,Portugal,Lisboa,//images.vivino.com/labels/us2fs7cdSCC7HZTkgeBZNQ.jpg
1413287,Quinta Vale d'Aldeia,2016,Quinta Vale d'Aldeia Xaino Tinto 2016,red,3.6,5.99,Portugal,Douro,//images.vivino.com/thumbs/MDkamXIRRPSz4r91Jx9Vxw_pl_480x640.png
1368836,Herdade do Pombal,2013,Herdade do Pombal Reserva 2013,red,4.3,17.0,Portugal,Alentejo,//images.vivino.com/labels/Uw1Gjui6QWemDoD1JkD-aw.jpg
69734,Taylor's,2001,Taylor's Quinta de Terra Feita Vintage Port 2001,fortified,4.1,73.0,Portugal,Porto,//images.vivino.com/thumbs/ieDg5TTVTh-LckWWFTQfYg_pl_480x640.png
2027016,Niepoort,2012,Niepoort Dócil Au-Au Branco 2012,white,4.0,84.0,Portugal,Trás-os-Montes,//images.vivino.com/labels/00ifyluu0kwa6.jpg
8255054,Monte da Capela,2018,Monte da Capela Reserva Branco 2018,white,4.0,11.0,Portugal,Alentejo,//images.vivino.com/labels/thUdArHXSmeINvlvlpStxw.jpg
1245309,Antonio Bernardino Paulo da Silva,2000,Antonio Bernardino Paulo da Silva Colares Chitas Tinto 2000,red,3.9,39.5,Portugal,Colares,//images.vivino.com/thumbs/wsCs2DVOQTib6zQszczuvg_pl_480x640.png
1245309,Antonio Bernardino Paulo da Silva,2011,Antonio Bernardino Paulo da Silva Colares Chitas Tinto 2011,red,3.9,29.95,Portugal,Colares,//images.vivino.com/thumbs/wsCs2DVOQTib6zQszczuvg_pl_480x640.png
7867187,Carregosa,2016,Carregosa Grande Reserva Touriga Franca 2016,red,4.2,20.0,Portugal,Douro,//images.vivino.com/labels/k0pq2oD_STmszlIp_wh8QA.jpg
1176869,Vila Real,2020,Vila Real Reserva Branco 2020,white,3.8,5.85,Portugal,Douro,//images.vivino.com/thumbs/qQjFavw1SEqlQT5Wmw0jPg_pl_480x640.png
7701643,Quinta da Romaneira,2017,Quinta da Romaneira Apontador Syrah 2017,red,4.5,42.5,Portugal,Duriense,//images.vivino.com/labels/ca9072Q9SliuQDQ0vBdFSw.jpg
1644720,Encostas de Estremoz,2014,Encostas de Estremoz Reserva 2014,red,3.7,41.9,Portugal,Alentejano,//images.vivino.com/labels/00qwnkce791ce.jpg
4928040,Herdade da Maroteira,2020,Herdade da Maroteira Dez Tostões Rosé 2020,rosé,4.0,6.5,Portugal,Alentejano,//images.vivino.com/thumbs/huTbAQTXQhyTEze1PC_yBQ_pl_480x640.png
1200515,Valle Pradinhos,2019,Valle Pradinhos Rosé 2019,rosé,3.8,7.35,Portugal,Trás-os-Montes,//images.vivino.com/labels/vCLmdJBMRH2S_fZNsPei5A.jpg
4274231,A & D Wines,2019,A & D Wines Monólogo Chardonnay P706 2019,white,3.9,7.5,Portugal,Minho,//images.vivino.com/thumbs/KZ_MfflAT3K05tJSU3K8rQ_pl_480x640.png
1377964,Vale Barqueiros,2015,Vale Barqueiros Reserva Tinto 2015,red,4.3,12.9,Portugal,Alentejano,//images.vivino.com/labels/5Xvx3C9_RBSEK3gckAZ4aA.jpg
1255594,Dona Berta,2011,Dona Berta Vinha Centenária Reserva Branco 2011,white,4.3,35.0,Portugal,Douro,//images.vivino.com/thumbs/0OyecPlxQ-GMRipHgty7qw_pl_480x640.png
6334089,Cadão,2011,Cadão Vinhas Velhas 2011,red,4.1,19.9,Portugal,Douro,//images.vivino.com/labels/4neqd090S9CdRAGpZhdD6w.jpg
1909468,Mira do Ó,2018,Mira do Ó Druida Encruzado Reserva 2018,white,4.1,17.5,Portugal,Dão,//images.vivino.com/thumbs/CFIksN2PQoGOzAxQSa4lFg_pl_480x640.png
1201985,Morgadio da Calçada,2013,Morgadio da Calçada Branco 2013,white,3.9,19.0,Portugal,Douro,//images.vivino.com/thumbs/MSqLrVQERIWIB_dgYpY7Lg_pl_480x640.png
1756337,Dona Berta,2013,Dona Berta Reserva Tinto Cão 2013,red,4.1,18.5,Portugal,Douro,//images.vivino.com/thumbs/WhH5BDdHRJGdnjP23DPDPw_pl_480x640.png
1368855,Secret Spot,2014,Secret Spot Tinto 2014,red,4.3,45.0,Portugal,Douro,//images.vivino.com/thumbs/TKo-1vhjTJ2O4brMRHRNdA_pl_480x640.png
1189822,Barros,2002,Barros Colheita Porto 2002,fortified,3.9,32.0,Portugal,Porto,//images.vivino.com/thumbs/e3HOlT52QjW-XiG4WQy-4Q_pl_480x640.png
1153075,Offley,2001,Offley Colheita Porto (Barão de Forrester) 2001,fortified,3.9,39.0,Portugal,Porto,//images.vivino.com/thumbs/LiMeF20sTji83YUBBpGsDg_pl_480x640.png
3595605,Quinta do Cerrado,2017,Quinta do Cerrado Reserva Branco 2017,white,3.9,8.79,Portugal,Dão,//images.vivino.com/labels/XZwruYKnTR2VIUb5yayF5Q.jpg
4849471,Art.Terra,2017,Art.Terra Curtimenta 2017,white,3.3,11.9,Portugal,Alentejano,//images.vivino.com/labels/7u_WFxlPRyuTlw4bCQhWMQ.jpg
1413287,Quinta Vale d'Aldeia,2015,Quinta Vale d'Aldeia Xaino Tinto 2015,red,3.9,5.99,Portugal,Douro,//images.vivino.com/thumbs/MDkamXIRRPSz4r91Jx9Vxw_pl_480x640.png
1189822,Barros,1976,Barros Colheita Porto 1976,fortified,4.4,89.43,Portugal,Porto,//images.vivino.com/thumbs/e3HOlT52QjW-XiG4WQy-4Q_pl_480x640.png
2111772,Quinta Vale d'Aldeia,2018,Quinta Vale d'Aldeia Xaino Selection Tinto 2018,red,3.9,10.99,Portugal,Douro,//images.vivino.com/thumbs/W0lHIny1R7KyBSU1wCdn0w_pl_480x640.png
4782162,Altas Quintas,2018,Altas Quintas 600 Branco 2018,white,3.9,5.15,Portugal,Alentejano,//images.vivino.com/thumbs/ON-Ez4qsStmwqavgOXnONw_pl_480x640.png
